term,score,,,
accident,-2,,,
abandon,-1,,,
abnormal,-2,,,
abusi,-2,,,
accus,-2,,,
addict,-2,,,
adulterat,-2,,,
adventur,1,,,
adulterat,-1,,,
aggravat,-1,,,
agitat,-1,,,
allege,-1,,,
amaz,1,,,
ambiguit,-1,,,
amiab,1,,,
ambush,-2,,,
argu,-1,,,
asham,-1,,,
beaut,1,,,
belittl,-2,,,
brillian,1,,,
celebrat,1,,,
confes,-1,,,
courag,2,,,
deadi,-1,,,
deceivin,-2,,,
decompos,-2,,,
defenc,-1,,,
delectabl,1,,,
deligh,1,,,
deprav,-1,,,
depriv,-1,,,
desperat,-1,,,
despis,-1,,,
destitut,-1,,,
devastat,-1,,,
devot,1,,,
disagre,-1,,,
disapprov,-2,,,
discourag,-1,,,
dispens,1,,,
dissatisf,-2,,,
divin,1,,,
encourag,1,,,
enemie,-2,,,
energ,1,,,
engag,1,,,
enrag,-1,,,
enthus,1,,,
envie,-1,,,
overthink,-1,,,
malfunction ,-1,,,
dysfunction,-1,,,
disruption,-1,,,
exaggerat,-2,,,
exasperat,-2,,,
excellen,1,,,
excommunicat,-1,,,
excruciat,-1,,,
exterminat,-2,,,
fabricat,-2,,,
exuberan,-1,,,
fatigu,-1,,,
flexib,1,,,
confus,-1,,,
festiv,1,,,
genero,1,,,
giggl,1,,,
glori,2,,,
graci,2,,,
grati,2,,,
gratef,2,,,
griev,-1,,,
grimi,-1,,,
grumbl,-1,,,
handsom,1,,,
happi,2,,,
honorabl,2,,,
honourabl,2,,,
hostil,-1,,,
humiliat,-1,,,
impasse,-2,,,
impatien,-2,,,
importan,1,,,
inaccessib,-2,,,
inadequa,-2,,,
incompatib,-1,,,
incompeten,-1,,,
inconsisten,-1,,,
indecen,-1,,,
inconvenien,-1,,,
indetermin,-2,,,
inequalit,-2,,,
infiltrat,-1,,,
inhib,-1,,,
innocen,1,,,
insecur,-1,,,
insignifican,-1,,,
insincer,-1,,,
insinuat,-1,,,
inspir,1,,,
insufficien,-2,,,
intelligib,1,,,
interrup,-1,,,
intimidat,-1,,,
intrud,-2,,,
irresponsib,-1,,,
irrita,-1,,,
isolat,-2,,,
liabilit,-1,,,
likeab,1,,,
magnific,1,,,
maltreat,-1,,,
manipulat,-2,,,
merciless,-1,,,
merr,1,,,
mistak,-2,,,
misunderst,-2,,,
negativ,-1,,,
negligen,-1,,,
nonsens,-2,,,
opportun,1,,,
optimi,1,,,
painf,-1,,,
painl,1,,,
palatabl,1,,,
paranoi,-1,,,
perfectionis,1,,,
perver,-1,,,
pessimis,-1,,,
persecut,-1,,,
petrif,-1,,,
pleasur,1,,#Summary of word distribution,
plenti,1,,1,44
pollut,-1,,2,15
positiv,1,,-1,82
prais,1,,-2,44
pressur,-1,,Total,185
privileg,1,,,
promise,1,,,
promiscu,-2,,,
prosecut,-1,,,
protect,2,,,
racis,-2,,,
ravag,-1,,,
reassur,2,,,
reliev,2,,,
reluctan,-2,,,
repugnan,-1,,,
retaliat,-2,,,
ridicul,-1,,,
romanc,1,,,
sadde,-1,,,
secur,2,,,
swindlin,-2,,,
subjugat,-1,,,
sunshin,2,,,
superstit,-1,,,
susceptib,-2,,,
suspicio,-2,,,
tenderiz,1,,,
terribl,-1,,,
terrifyi,-1,,,
thankf,2,,,
terrori,-1,,,
thrill,1,,,
tragica ,-2,,,
treasur,2,,,
trembl,-1,,,
troubl,-1,,,
undependab,-2,,,
undesirabl,-2,,,
uneas,-1,,,
unhapp,-1,,,
unjustifi,-1,,,
unlov,-1,,,
unnecessar,-1,,,
unreasonabl,-1,,,
unreliab,-2,,,
unwelcom,-2,,,
volatil,-2,,,
welcom,1,,,
wonderf,1,,,
unfortunatel,-2,,,
efcc,-1,,,
