term,score
419,scam
121,one to one
aight,alright
alol,actually laughing out loud
b4,before
b4n,bye for now
bff,best friends forever
ciao,bye
cya,bye
cyo,see you online 
dbau,doing business as usual 
fud,"fear, uncertainty, and doubt "
fwiw,for what it's worth 
fyi,for your information
g2g,got to go 
gmbo,giggling my butt off 
gmta,great minds think alike 
h8,hate
hagn,have a good night 
hdop,help delete online predators 
hhis,hanging head in shame 
imao,in my arrogant opinion
imnsho,in my not so humble opinion 
ipn,I’m posting naked 
l8r,later
llta,lots and lots of thunderous applause 
lmao,laugh my ass off
lmirl,let's meet in real life 
lol,laugh out loud
lulab,love you like a brother 
lulas,love you like a sister 
luv,love
m8,mate
milf,mother I would like to fuck
omg,oh my god
rotfl,roll on the floor laughing
rofl,roll on the floor laughing
rpg,role playing games
shid,slaps head in disgust
somy,sick of me yet
sot,short of time 
thanx,thanks
thx,thanks
tx,thanks
ttyl,talk to you later 
wfm,works for me 
wibni,wouldn't it be nice if 
wtf,what the fuck
wtg,way to go
wtgp,want to go private
lwkmd,laugh wan kill me die
